csv_path,L,C,Lg,Vin,Vs1,Time step,MAE,MARE,MAXRE
new_3ph_inv_L=1e-03_C=1e-03_Lg=1e-03_V=1e+02_Vs1=1e+02_time_step_2e-06.csv,0.001,0.001,0.001,100.0,100.0,2e-06,,,
new_3ph_inv_L=1e-03_C=1e-03_Lg=1e-03_V=1e+02_Vs1=1e+02_time_step_5e-06.csv,0.001,0.001,0.001,100.0,100.0,5e-06,,,
new_3ph_inv_L=1e-03_C=1e-03_Lg=1e-03_V=1e+02_Vs1=1e+02_time_step_5e-07.csv,0.001,0.001,0.001,100.0,100.0,5e-07,,,
new_3ph_inv_L=1e-03_C=1e-03_Lg=1e-03_V=1e+02_Vs1=2e+02_time_step_2e-06.csv,0.001,0.001,0.001,100.0,200.0,2e-06,,,
new_3ph_inv_L=1e-03_C=1e-03_Lg=1e-03_V=1e+02_Vs1=2e+02_time_step_5e-06.csv,0.001,0.001,0.001,100.0,200.0,5e-06,,,
new_3ph_inv_L=1e-03_C=1e-03_Lg=1e-03_V=1e+02_Vs1=2e+02_time_step_5e-07.csv,0.001,0.001,0.001,100.0,200.0,5e-07,,,
new_3ph_inv_L=1e-03_C=1e-03_Lg=1e-03_V=1e+02_Vs1=3e+02_time_step_2e-06.csv,0.001,0.001,0.001,100.0,300.0,2e-06,,,
new_3ph_inv_L=1e-03_C=1e-03_Lg=1e-03_V=1e+02_Vs1=3e+02_time_step_5e-06.csv,0.001,0.001,0.001,100.0,300.0,5e-06,,,
new_3ph_inv_L=1e-03_C=1e-03_Lg=1e-03_V=1e+02_Vs1=3e+02_time_step_5e-07.csv,0.001,0.001,0.001,100.0,300.0,5e-07,,,
new_3ph_inv_L=1e-03_C=1e-03_Lg=1e-03_V=1e+02_Vs1=4e+02_time_step_2e-06.csv,0.001,0.001,0.001,100.0,400.0,2e-06,,,
new_3ph_inv_L=1e-03_C=1e-03_Lg=1e-03_V=1e+02_Vs1=4e+02_time_step_5e-06.csv,0.001,0.001,0.001,100.0,400.0,5e-06,,,
new_3ph_inv_L=1e-03_C=1e-03_Lg=1e-03_V=1e+02_Vs1=4e+02_time_step_5e-07.csv,0.001,0.001,0.001,100.0,400.0,5e-07,,,
new_3ph_inv_L=1e-03_C=1e-03_Lg=1e-03_V=1e+02_Vs1=5e+02_time_step_2e-06.csv,0.001,0.001,0.001,100.0,500.0,2e-06,,,
new_3ph_inv_L=1e-03_C=1e-03_Lg=1e-03_V=1e+02_Vs1=5e+02_time_step_5e-06.csv,0.001,0.001,0.001,100.0,500.0,5e-06,,,
