"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"
    Test the system response for disturbance rejection with different R and C values.
    ","14342","test_rectifier[0.0001-0.01-0.01]","","Tue May 27 16:23:39 CEST 2025","passed","Tue May 27 16:23:53 CEST 2025","","genResScript","",""
"
    Test the system response for disturbance rejection with different R and C values.
    ","13336","test_rectifier[0.0001-1e-05-0.01]","","Tue May 27 16:37:22 CEST 2025","passed","Tue May 27 16:37:35 CEST 2025","","genResScript","",""
"
    Test the system response for disturbance rejection with different R and C values.
    ","14149","test_rectifier[1e-06-0.001-0.01]","","Tue May 27 16:35:58 CEST 2025","passed","Tue May 27 16:36:12 CEST 2025","","genResScript","",""
"
    Test the system response for disturbance rejection with different R and C values.
    ","14350","test_rectifier[1e-05-1e-05-0.01]","","Tue May 27 16:39:27 CEST 2025","passed","Tue May 27 16:39:42 CEST 2025","","genResScript","",""
"
    Test the system response for disturbance rejection with different R and C values.
    ","15345","test_rectifier[1e-06-1e-05-1e-06]","","Tue May 27 17:04:52 CEST 2025","passed","Tue May 27 17:05:07 CEST 2025","","genResScript","",""
"
    Test the system response for disturbance rejection with different R and C values.
    ","15358","test_rectifier[1e-06-0.001-0.0001]","","Tue May 27 16:50:59 CEST 2025","passed","Tue May 27 16:51:14 CEST 2025","","genResScript","",""
"
    Test the system response for disturbance rejection with different R and C values.
    ","14358","test_rectifier[0.001-0.01-0.0001]","","Tue May 27 16:26:02 CEST 2025","passed","Tue May 27 16:26:16 CEST 2025","","genResScript","",""
"
    Test the system response for disturbance rejection with different R and C values.
    ","14349","test_rectifier[1e-06-1e-05-0.001]","","Tue May 27 16:56:14 CEST 2025","passed","Tue May 27 16:56:28 CEST 2025","","genResScript","",""
"
    Test the system response for disturbance rejection with different R and C values.
    ","9330","test_rectifier[1e-06-0.001-0.001]","","Tue May 27 16:18:22 CEST 2025","passed","Tue May 27 16:18:31 CEST 2025","","genResScript","",""
"
    Test the system response for disturbance rejection with different R and C values.
    ","10364","test_rectifier[0.0001-0.0001-0.0001]","","Tue May 27 16:14:26 CEST 2025","passed","Tue May 27 16:14:36 CEST 2025","","genResScript","",""
"
    Test the system response for disturbance rejection with different R and C values.
    ","14340","test_rectifier[1e-06-0.0001-1e-06]","","Tue May 27 17:02:08 CEST 2025","passed","Tue May 27 17:02:23 CEST 2025","","genResScript","",""
"
    Test the system response for disturbance rejection with different R and C values.
    ","14340","test_rectifier[0.0001-0.001-0.01]","","Tue May 27 16:34:46 CEST 2025","passed","Tue May 27 16:35:00 CEST 2025","","genResScript","",""
"
    Test the system response for disturbance rejection with different R and C values.
    ","15345","test_rectifier[1e-05-1e-06-0.0001]","","Tue May 27 16:12:29 CEST 2025","passed","Tue May 27 16:12:45 CEST 2025","","genResScript","",""
