time,Ia,Ib,Ic,topA,botA,topB,botB,topC,botC,La_value,Lb_value,Lc_value,Lag_value,Lbg_value,Lcg_value,Ca_value,Cb_value,Cc_value,time_step,Ia_next_value,Ib_next_value,Ic_next_value
0.0,0.0,0.0,0.0,0,0,0,0,0,0,1e-06,1e-06,1e-06,0.001,0.001,0.001,1e-05,1e-05,1e-05,5e-06,0.0,0.0,0.0
5e-06,0.0,0.0,0.0,1,0,1,0,1,0,1e-06,1e-06,1e-06,0.001,0.001,0.001,1e-05,1e-05,1e-05,5e-06,0.0,0.0,0.0
1e-05,0.0,0.0,0.0,1,0,1,0,1,0,1e-06,1e-06,1e-06,0.001,0.001,0.001,1e-05,1e-05,1e-05,5e-06,0.0,0.0,0.0
1.5e-05,0.0,0.0,0.0,1,0,0,0,1,0,1e-06,1e-06,1e-06,0.001,0.001,0.001,1e-05,1e-05,1e-05,5e-06,0.024416609,-0.048833217,0.024416609
2e-05,0.024416609,-0.048833217,0.024416609,1,0,0,1,1,0,1e-06,1e-06,1e-06,0.001,0.001,0.001,1e-05,1e-05,1e-05,5e-06,0.21543737,-0.43087474,0.21543737
2.5e-05,0.21543737,-0.43087474,0.21543737,1,0,0,1,1,0,1e-06,1e-06,1e-06,0.001,0.001,0.001,1e-05,1e-05,1e-05,5e-06,0.650894,-1.3750378,0.7241438
3e-05,0.650894,-1.3750378,0.7241438,0,1,0,1,1,0,1e-06,1e-06,1e-06,0.001,0.001,0.001,1e-05,1e-05,1e-05,5e-06,1.0817711,-2.8098543,1.7280833
3.5e-05,1.0817711,-2.8098543,1.7280833,0,1,0,1,1,0,1e-06,1e-06,1e-06,0.001,0.001,0.001,1e-05,1e-05,1e-05,5e-06,1.2093838,-4.466245,3.2568612
4e-05,1.2093838,-4.466245,3.2568612,0,1,0,1,0,1,1e-06,1e-06,1e-06,0.001,0.001,0.001,1e-05,1e-05,1e-05,5e-06,0.95271546,-5.889641,4.936925
4.5e-05,0.95271546,-5.889641,4.936925,0,1,0,1,0,1,1e-06,1e-06,1e-06,0.001,0.001,0.001,1e-05,1e-05,1e-05,5e-06,0.38454083,-6.634967,6.2504263
5e-05,0.38454083,-6.634967,6.2504263,0,1,0,1,0,1,1e-06,1e-06,1e-06,0.001,0.001,0.001,1e-05,1e-05,1e-05,5e-06,-0.3462268,-6.4349666,6.7811933
5.5e-05,-0.3462268,-6.4349666,6.7811933,0,1,0,1,0,1,1e-06,1e-06,1e-06,0.001,0.001,0.001,1e-05,1e-05,1e-05,5e-06,-1.0515682,-5.265196,6.3167644
