time,value,top,bot,time_step,next_value
0.0,0.0,0.0,0.0,5e-07,0.0
5e-07,0.0,0.0,0.0,5e-07,0.0
1e-06,0.0,0.0,0.0,5e-07,0.0
1.5e-06,0.0,1.0,0.0,5e-07,0.0
2e-06,0.0,1.0,0.0,5e-07,0.0009937251
2.5e-06,0.0009937251,1.0,0.0,5e-07,0.001493663
3e-06,0.001493663,1.0,0.0,5e-07,0.0019935758
3.5e-06,0.0019935758,1.0,0.0,5e-07,0.0024934637
4e-06,0.0024934637,1.0,0.0,5e-07,0.0029933264
4.5e-06,0.0029933264,1.0,0.0,5e-07,0.0034931642
5e-06,0.0034931642,1.0,0.0,5e-07,0.003992977
5.5e-06,0.003992977,1.0,0.0,5e-07,0.004492765
6e-06,0.004492765,1.0,0.0,5e-07,0.004992528
6.5e-06,0.004992528,1.0,0.0,5e-07,0.005492266
7e-06,0.005492266,1.0,0.0,5e-07,0.0059919786
7.5e-06,0.0059919786,1.0,0.0,5e-07,0.0064916667
8e-06,0.0064916667,1.0,0.0,5e-07,0.0069913296
8.5e-06,0.0069913296,1.0,0.0,5e-07,0.0074909674
9e-06,0.0074909674,1.0,0.0,5e-07,0.00799058
9.5e-06,0.00799058,1.0,0.0,5e-07,0.0084901685
1e-05,0.0084901685,1.0,0.0,5e-07,0.008989732
1.05e-05,0.008989732,1.0,0.0,5e-07,0.009489269
1.1e-05,0.009489269,1.0,0.0,5e-07,0.009988782
1.15e-05,0.009988782,1.0,0.0,5e-07,0.010488271
1.2e-05,0.010488271,1.0,0.0,5e-07,0.0109877335
1.25e-05,0.0109877335,1.0,0.0,5e-07,0.011487172
1.3e-05,0.011487172,1.0,0.0,5e-07,0.011986585
1.35e-05,0.011986585,1.0,0.0,5e-07,0.012485973
1.4e-05,0.012485973,1.0,0.0,5e-07,0.012985337
1.45e-05,0.012985337,1.0,0.0,5e-07,0.0134846745
1.5e-05,0.0134846745,1.0,0.0,5e-07,0.013983988
1.55e-05,0.013983988,1.0,0.0,5e-07,0.014483276
1.6e-05,0.014483276,1.0,0.0,5e-07,0.014982539
1.65e-05,0.014982539,1.0,0.0,5e-07,0.0154817775
1.7e-05,0.0154817775,1.0,0.0,5e-07,0.01598099
1.75e-05,0.01598099,1.0,0.0,5e-07,0.01648018
1.8e-05,0.01648018,1.0,0.0,5e-07,0.016979344
1.85e-05,0.016979344,1.0,0.0,5e-07,0.017478481
1.9e-05,0.017478481,1.0,0.0,5e-07,0.017977595
1.95e-05,0.017977595,1.0,0.0,5e-07,0.018476684
2e-05,0.018476684,1.0,0.0,5e-07,0.018975748
2.05e-05,0.018975748,1.0,0.0,5e-07,0.019474786
2.1e-05,0.019474786,1.0,0.0,5e-07,0.0199738
2.15e-05,0.0199738,1.0,0.0,5e-07,0.02047279
2.2e-05,0.02047279,1.0,0.0,5e-07,0.020971753
2.25e-05,0.020971753,1.0,0.0,5e-07,0.021470692
2.3e-05,0.021470692,1.0,0.0,5e-07,0.021969605
2.35e-05,0.021969605,1.0,0.0,5e-07,0.022468494
2.4e-05,0.022468494,1.0,0.0,5e-07,0.022967359
2.45e-05,0.022967359,1.0,0.0,5e-07,0.023466198
2.5e-05,0.023466198,1.0,0.0,5e-07,0.023965012
2.55e-05,0.023965012,0.0,0.0,5e-07,0.023971247
2.6e-05,0.023971247,0.0,0.0,5e-07,0.02297514
2.65e-05,0.02297514,0.0,1.0,5e-07,0.022474004
2.7e-05,0.022474004,0.0,1.0,5e-07,0.021972893
2.75e-05,0.021972893,0.0,1.0,5e-07,0.021471806
2.8e-05,0.021471806,0.0,1.0,5e-07,0.020970745
2.85e-05,0.020970745,0.0,1.0,5e-07,0.02046971
2.9e-05,0.02046971,0.0,1.0,5e-07,0.019968698
2.95e-05,0.019968698,0.0,1.0,5e-07,0.019467713
3e-05,0.019467713,0.0,1.0,5e-07,0.018966751
3.05e-05,0.018966751,0.0,1.0,5e-07,0.018465815
3.1e-05,0.018465815,0.0,1.0,5e-07,0.017964905
3.15e-05,0.017964905,0.0,1.0,5e-07,0.01746402
3.2e-05,0.01746402,0.0,1.0,5e-07,0.01696316
3.25e-05,0.01696316,0.0,1.0,5e-07,0.016462322
3.3e-05,0.016462322,0.0,1.0,5e-07,0.015961513
3.35e-05,0.015961513,0.0,1.0,5e-07,0.015460727
3.4e-05,0.015460727,0.0,1.0,5e-07,0.014959967
3.45e-05,0.014959967,0.0,1.0,5e-07,0.014459231
3.5e-05,0.014459231,0.0,1.0,5e-07,0.01395852
3.55e-05,0.01395852,0.0,1.0,5e-07,0.013457835
3.6e-05,0.013457835,0.0,1.0,5e-07,0.012957174
3.65e-05,0.012957174,0.0,1.0,5e-07,0.012456539
3.7e-05,0.012456539,0.0,1.0,5e-07,0.011955929
3.75e-05,0.011955929,0.0,1.0,5e-07,0.011455344
3.8e-05,0.011455344,0.0,1.0,5e-07,0.010954783
3.85e-05,0.010954783,0.0,1.0,5e-07,0.010454249
3.9e-05,0.010454249,0.0,1.0,5e-07,0.009953738
3.95e-05,0.009953738,0.0,1.0,5e-07,0.009453253
4e-05,0.009453253,0.0,1.0,5e-07,0.008952793
4.05e-05,0.008952793,0.0,1.0,5e-07,0.008452358
4.1e-05,0.008452358,0.0,1.0,5e-07,0.007951948
4.15e-05,0.007951948,0.0,1.0,5e-07,0.0074515627
4.2e-05,0.0074515627,0.0,1.0,5e-07,0.0069512026
4.25e-05,0.0069512026,0.0,1.0,5e-07,0.0064508673
4.3e-05,0.0064508673,0.0,1.0,5e-07,0.0059505575
4.35e-05,0.0059505575,0.0,1.0,5e-07,0.0054502725
4.4e-05,0.0054502725,0.0,1.0,5e-07,0.0049500125
4.45e-05,0.0049500125,0.0,1.0,5e-07,0.0044497773
4.5e-05,0.0044497773,0.0,1.0,5e-07,0.003949567
4.55e-05,0.003949567,0.0,1.0,5e-07,0.0034493825
4.6e-05,0.0034493825,0.0,1.0,5e-07,0.0029492225
4.65e-05,0.0029492225,0.0,1.0,5e-07,0.0024490876
4.7e-05,0.0024490876,0.0,1.0,5e-07,0.0019489775
4.75e-05,0.0019489775,0.0,1.0,5e-07,0.0014488925
4.8e-05,0.0014488925,0.0,1.0,5e-07,0.0009488326
4.85e-05,0.0009488326,0.0,1.0,5e-07,0.00044879768
4.9e-05,0.00044879768,0.0,1.0,5e-07,-5.1212257e-05
4.95e-05,-5.1212257e-05,0.0,1.0,5e-07,-0.0005511972
5e-05,-0.0005511972,0.0,1.0,5e-07,-0.0010511571
5.05e-05,-0.0010511571,0.0,1.0,5e-07,-0.0015510921
5.1e-05,-0.0015510921,0.0,1.0,5e-07,-0.002051002
5.15e-05,-0.002051002,0.0,1.0,5e-07,-0.002550887
5.2e-05,-0.002550887,0.0,1.0,5e-07,-0.0030507469
5.25e-05,-0.0030507469,0.0,1.0,5e-07,-0.0035505819
5.3e-05,-0.0035505819,0.0,1.0,5e-07,-0.0040503917
5.35e-05,-0.0040503917,0.0,1.0,5e-07,-0.0045501767
5.4e-05,-0.0045501767,0.0,1.0,5e-07,-0.005049937
5.45e-05,-0.005049937,0.0,1.0,5e-07,-0.005549672
5.5e-05,-0.005549672,0.0,1.0,5e-07,-0.006049382
5.55e-05,-0.006049382,0.0,1.0,5e-07,-0.006549067
5.6e-05,-0.006549067,0.0,1.0,5e-07,-0.007048727
5.65e-05,-0.007048727,0.0,1.0,5e-07,-0.007548362
5.7e-05,-0.007548362,0.0,1.0,5e-07,-0.008047972
5.75e-05,-0.008047972,0.0,1.0,5e-07,-0.0085475575
5.8e-05,-0.0085475575,0.0,1.0,5e-07,-0.009047117
5.85e-05,-0.009047117,0.0,1.0,5e-07,-0.009546652
5.9e-05,-0.009546652,0.0,1.0,5e-07,-0.010046163
5.95e-05,-0.010046163,0.0,1.0,5e-07,-0.010545648
6e-05,-0.010545648,0.0,1.0,5e-07,-0.011045109
6.05e-05,-0.011045109,0.0,1.0,5e-07,-0.011544543
6.1e-05,-0.011544543,0.0,1.0,5e-07,-0.012043954
6.15e-05,-0.012043954,0.0,1.0,5e-07,-0.012543339
6.2e-05,-0.012543339,0.0,1.0,5e-07,-0.0130427
6.25e-05,-0.0130427,0.0,1.0,5e-07,-0.013542035
6.3e-05,-0.013542035,0.0,1.0,5e-07,-0.014041346
6.35e-05,-0.014041346,0.0,1.0,5e-07,-0.01454063
6.4e-05,-0.01454063,0.0,1.0,5e-07,-0.015039891
6.45e-05,-0.015039891,0.0,1.0,5e-07,-0.0155391265
6.5e-05,-0.0155391265,0.0,1.0,5e-07,-0.016038338
6.55e-05,-0.016038338,0.0,1.0,5e-07,-0.016537523
6.6e-05,-0.016537523,0.0,1.0,5e-07,-0.017036684
6.65e-05,-0.017036684,0.0,1.0,5e-07,-0.017535819
6.7e-05,-0.017535819,0.0,1.0,5e-07,-0.01803493
6.75e-05,-0.01803493,0.0,1.0,5e-07,-0.018534016
6.8e-05,-0.018534016,0.0,1.0,5e-07,-0.019033076
6.85e-05,-0.019033076,0.0,1.0,5e-07,-0.019532112
6.9e-05,-0.019532112,0.0,1.0,5e-07,-0.020031122
6.95e-05,-0.020031122,0.0,1.0,5e-07,-0.020530108
7e-05,-0.020530108,0.0,1.0,5e-07,-0.02102907
7.05e-05,-0.02102907,0.0,1.0,5e-07,-0.021528006
7.1e-05,-0.021528006,0.0,1.0,5e-07,-0.022026917
7.15e-05,-0.022026917,0.0,1.0,5e-07,-0.022525804
7.2e-05,-0.022525804,0.0,1.0,5e-07,-0.023024665
7.25e-05,-0.023024665,0.0,1.0,5e-07,-0.023523502
7.3e-05,-0.023523502,0.0,1.0,5e-07,-0.024022313
7.35e-05,-0.024022313,0.0,1.0,5e-07,-0.0245211
7.4e-05,-0.0245211,0.0,1.0,5e-07,-0.02501986
7.45e-05,-0.02501986,0.0,1.0,5e-07,-0.025518596
7.5e-05,-0.025518596,0.0,1.0,5e-07,-0.026017308
7.55e-05,-0.026017308,0.0,0.0,5e-07,-0.026023543
7.6e-05,-0.026023543,0.0,0.0,5e-07,-0.02502723
7.65e-05,-0.02502723,1.0,0.0,5e-07,-0.024525993
7.7e-05,-0.024525993,1.0,0.0,5e-07,-0.024024779
7.75e-05,-0.024024779,1.0,0.0,5e-07,-0.02352359
7.8e-05,-0.02352359,1.0,0.0,5e-07,-0.023022426
7.85e-05,-0.023022426,1.0,0.0,5e-07,-0.022521287
7.9e-05,-0.022521287,1.0,0.0,5e-07,-0.022020174
7.95e-05,-0.022020174,1.0,0.0,5e-07,-0.021519085
8e-05,-0.021519085,1.0,0.0,5e-07,-0.021018023
8.05e-05,-0.021018023,1.0,0.0,5e-07,-0.020516984
8.1e-05,-0.020516984,1.0,0.0,5e-07,-0.02001597
8.15e-05,-0.02001597,1.0,0.0,5e-07,-0.019514982
