Time,Iout,IGBT Leg1.PWM_Modulator.TOP_1,IGBT Leg1.PWM_Modulator.BOT_1
0.0,0.0,0.0,0.0
5e-07,-0.00499875,0.0,0.0
1e-06,-0.005061203,0.0,0.0
1.5e-06,0.004878841,1.0,0.0
2e-06,0.009875152,1.0,0.0
2.5e-06,0.014868966,1.0,0.0
3e-06,0.019860284,1.0,0.0
3.5e-06,0.024849106,1.0,0.0
4e-06,0.029835435,1.0,0.0
4.5e-06,0.03481927,1.0,0.0
5e-06,0.039800618,1.0,0.0
5.5e-06,0.044779472,1.0,0.0
6e-06,0.049755838,1.0,0.0
6.5e-06,0.054729715,1.0,0.0
7e-06,0.059701107,1.0,0.0
7.5e-06,0.06467001,1.0,0.0
8e-06,0.06963644,1.0,0.0
8.5e-06,0.074600376,1.0,0.0
9e-06,0.07956184,1.0,0.0
9.5e-06,0.08452082,1.0,0.0
1e-05,0.089477316,1.0,0.0
1.05e-05,0.09443134,1.0,0.0
1.1e-05,0.099382885,1.0,0.0
1.15e-05,0.104331955,1.0,0.0
1.2e-05,0.10927855,1.0,0.0
1.25e-05,0.11422268,1.0,0.0
1.3e-05,0.11916433,1.0,0.0
1.35e-05,0.12410352,1.0,0.0
1.4e-05,0.12904023,1.0,0.0
1.45e-05,0.13397448,1.0,0.0
1.5e-05,0.13890626,1.0,0.0
1.55e-05,0.14383557,1.0,0.0
1.6e-05,0.14876242,1.0,0.0
1.65e-05,0.1536868,1.0,0.0
1.7e-05,0.15860873,1.0,0.0
1.75e-05,0.1635282,1.0,0.0
1.8e-05,0.1684452,1.0,0.0
1.85e-05,0.17335975,1.0,0.0
1.9e-05,0.17827184,1.0,0.0
1.95e-05,0.18318148,1.0,0.0
2e-05,0.18808867,1.0,0.0
2.05e-05,0.1929934,1.0,0.0
2.1e-05,0.19789568,1.0,0.0
2.15e-05,0.2027955,1.0,0.0
2.2e-05,0.20769288,1.0,0.0
2.25e-05,0.2125878,1.0,0.0
2.3e-05,0.21748029,1.0,0.0
2.35e-05,0.22237033,1.0,0.0
2.4e-05,0.22725792,1.0,0.0
2.45e-05,0.23214307,1.0,0.0
2.5e-05,0.23702578,1.0,0.0
2.55e-05,0.24190605,0.0,0.0
2.6e-05,0.24196702,0.0,0.0
2.65e-05,0.2317916,0.0,1.0
2.7e-05,0.22667699,0.0,1.0
2.75e-05,0.22156493,0.0,1.0
2.8e-05,0.21645543,0.0,1.0
2.85e-05,0.21134847,0.0,1.0
2.9e-05,0.20624408,0.0,1.0
2.95e-05,0.20114224,0.0,1.0
3e-05,0.19604294,0.0,1.0
3.05e-05,0.19094619,0.0,1.0
3.1e-05,0.18585199,0.0,1.0
3.15e-05,0.18076034,0.0,1.0
3.2e-05,0.17567122,0.0,1.0
3.25e-05,0.17058466,0.0,1.0
3.3e-05,0.16550064,0.0,1.0
3.35e-05,0.16041917,0.0,1.0
3.4e-05,0.15534022,0.0,1.0
3.45e-05,0.15026382,0.0,1.0
3.5e-05,0.14518996,0.0,1.0
3.55e-05,0.14011863,0.0,1.0
3.6e-05,0.13504983,0.0,1.0
3.65e-05,0.12998357,0.0,1.0
3.7e-05,0.124919854,0.0,1.0
3.75e-05,0.11985866,0.0,1.0
3.8e-05,0.1148,0.0,1.0
3.85e-05,0.109743856,0.0,1.0
3.9e-05,0.104690254,0.0,1.0
3.95e-05,0.09963917,0.0,1.0
4e-05,0.09459061,0.0,1.0
4.05e-05,0.08954458,0.0,1.0
4.1e-05,0.084501065,0.0,1.0
4.15e-05,0.07946008,0.0,1.0
4.2e-05,0.07442161,0.0,1.0
4.25e-05,0.069385655,0.0,1.0
4.3e-05,0.06435222,0.0,1.0
4.35e-05,0.059321303,0.0,1.0
4.4e-05,0.0542929,0.0,1.0
4.45e-05,0.04926701,0.0,1.0
4.5e-05,0.04424363,0.0,1.0
4.55e-05,0.039222766,0.0,1.0
4.6e-05,0.03420441,0.0,1.0
4.65e-05,0.029188558,0.0,1.0
4.7e-05,0.024175217,0.0,1.0
4.75e-05,0.019164383,0.0,1.0
4.8e-05,0.014156054,0.0,1.0
4.85e-05,0.009150227,0.0,1.0
4.9e-05,0.004146903,0.0,1.0
4.95e-05,-0.00085392036,0.0,1.0
5e-05,-0.005852244,0.0,1.0
5.05e-05,-0.010848069,0.0,1.0
5.1e-05,-0.015841397,0.0,1.0
5.15e-05,-0.020832228,0.0,1.0
5.2e-05,-0.025820564,0.0,1.0
5.25e-05,-0.030806407,0.0,1.0
5.3e-05,-0.035789758,0.0,1.0
5.35e-05,-0.040770616,0.0,1.0
