time,value,top,bot,time_step,L_value,next_value
0.0,0.0,0.0,0.0,5e-07,1e-2,0.0004999875
5e-07,0.0004999875,0.0,0.0,5e-07,1e-2,0.00050623703
1e-06,0.00050623703,0.0,0.0,5e-07,1e-2,-0.00048753843
1.5e-06,-0.00048753843,1.0,0.0,5e-07,1e-2,-0.000493788
2e-06,-0.000493788,1.0,0.0,5e-07,1e-2,0.0004999862
2.5e-06,0.0004999862,1.0,0.0,5e-07,1e-2,0.0009999487
3e-06,0.0009999487,1.0,0.0,5e-07,1e-2,0.0014998863
3.5e-06,0.0014998863,1.0,0.0,5e-07,1e-2,0.0019997987
4e-06,0.0019997987,1.0,0.0,5e-07,1e-2,0.0024996863
4.5e-06,0.0024996863,1.0,0.0,5e-07,1e-2,0.0029995488
5e-06,0.0029995488,1.0,0.0,5e-07,1e-2,0.0034993864
5.5e-06,0.0034993864,1.0,0.0,5e-07,1e-2,0.003999199
6e-06,0.003999199,1.0,0.0,5e-07,1e-2,0.0044989865
6.5e-06,0.0044989865,1.0,0.0,5e-07,1e-2,0.004998749
7e-06,0.004998749,1.0,0.0,5e-07,1e-2,0.0054984866
7.5e-06,0.0054984866,1.0,0.0,5e-07,1e-2,0.0059981993
8e-06,0.0059981993,1.0,0.0,5e-07,1e-2,0.0064978865
8.5e-06,0.0064978865,1.0,0.0,5e-07,1e-2,0.0069975494
9e-06,0.0069975494,1.0,0.0,5e-07,1e-2,0.007497187
9.5e-06,0.007497187,1.0,0.0,5e-07,1e-2,0.007996799
1e-05,0.007996799,1.0,0.0,5e-07,1e-2,0.008496387
1.05e-05,0.008496387,1.0,0.0,5e-07,1e-2,0.00899595
1.1e-05,0.00899595,1.0,0.0,5e-07,1e-2,0.009495487
1.15e-05,0.009495487,1.0,0.0,5e-07,1e-2,0.009995
1.2e-05,0.009995,1.0,0.0,5e-07,1e-2,0.010494488
1.25e-05,0.010494488,1.0,0.0,5e-07,1e-2,0.010993951
1.3e-05,0.010993951,1.0,0.0,5e-07,1e-2,0.011493389
1.35e-05,0.011493389,1.0,0.0,5e-07,1e-2,0.011992802
1.4e-05,0.011992802,1.0,0.0,5e-07,1e-2,0.012492189
1.45e-05,0.012492189,1.0,0.0,5e-07,1e-2,0.012991552
1.5e-05,0.012991552,1.0,0.0,5e-07,1e-2,0.01349089
1.55e-05,0.01349089,1.0,0.0,5e-07,1e-2,0.013990203
1.6e-05,0.013990203,1.0,0.0,5e-07,1e-2,0.0144894915
1.65e-05,0.0144894915,1.0,0.0,5e-07,1e-2,0.014988754
1.7e-05,0.014988754,1.0,0.0,5e-07,1e-2,0.015487992
1.75e-05,0.015487992,1.0,0.0,5e-07,1e-2,0.015987206
1.8e-05,0.015987206,1.0,0.0,5e-07,1e-2,0.016486393
1.85e-05,0.016486393,1.0,0.0,5e-07,1e-2,0.016985556
1.9e-05,0.016985556,1.0,0.0,5e-07,1e-2,0.017484695
1.95e-05,0.017484695,1.0,0.0,5e-07,1e-2,0.01798381
2e-05,0.01798381,1.0,0.0,5e-07,1e-2,0.018482897
2.05e-05,0.018482897,1.0,0.0,5e-07,1e-2,0.01898196
2.1e-05,0.01898196,1.0,0.0,5e-07,1e-2,0.019480998
2.15e-05,0.019480998,1.0,0.0,5e-07,1e-2,0.019980012
2.2e-05,0.019980012,1.0,0.0,5e-07,1e-2,0.020479001
2.25e-05,0.020479001,1.0,0.0,5e-07,1e-2,0.020977965
2.3e-05,0.020977965,1.0,0.0,5e-07,1e-2,0.021476902
2.35e-05,0.021476902,1.0,0.0,5e-07,1e-2,0.021975817
2.4e-05,0.021975817,1.0,0.0,5e-07,1e-2,0.022474704
2.45e-05,0.022474704,1.0,0.0,5e-07,1e-2,0.02297357
2.5e-05,0.02297357,1.0,0.0,5e-07,1e-2,0.023472408
2.55e-05,0.023472408,0.0,0.0,5e-07,1e-2,0.023478644
2.6e-05,0.023478644,0.0,0.0,5e-07,1e-2,0.022482585
2.65e-05,0.022482585,0.0,1.0,5e-07,1e-2,0.021981474
2.7e-05,0.021981474,0.0,1.0,5e-07,1e-2,0.021480387
2.75e-05,0.021480387,0.0,1.0,5e-07,1e-2,0.020979324
2.8e-05,0.020979324,0.0,1.0,5e-07,1e-2,0.02047829
2.85e-05,0.02047829,0.0,1.0,5e-07,1e-2,0.019977277
2.9e-05,0.019977277,0.0,1.0,5e-07,1e-2,0.01947629
2.95e-05,0.01947629,0.0,1.0,5e-07,1e-2,0.01897533
3e-05,0.01897533,0.0,1.0,5e-07,1e-2,0.018474393
3.05e-05,0.018474393,0.0,1.0,5e-07,1e-2,0.017973483
3.1e-05,0.017973483,0.0,1.0,5e-07,1e-2,0.017472597
3.15e-05,0.017472597,0.0,1.0,5e-07,1e-2,0.016971735
3.2e-05,0.016971735,0.0,1.0,5e-07,1e-2,0.0164709
3.25e-05,0.0164709,0.0,1.0,5e-07,1e-2,0.015970089
3.3e-05,0.015970089,0.0,1.0,5e-07,1e-2,0.0154693015
3.35e-05,0.0154693015,0.0,1.0,5e-07,1e-2,0.0149685405
3.4e-05,0.0149685405,0.0,1.0,5e-07,1e-2,0.014467805
3.45e-05,0.014467805,0.0,1.0,5e-07,1e-2,0.013967094
3.5e-05,0.013967094,0.0,1.0,5e-07,1e-2,0.0134664085
3.55e-05,0.0134664085,0.0,1.0,5e-07,1e-2,0.012965747
3.6e-05,0.012965747,0.0,1.0,5e-07,1e-2,0.012465112
3.65e-05,0.012465112,0.0,1.0,5e-07,1e-2,0.011964501
3.7e-05,0.011964501,0.0,1.0,5e-07,1e-2,0.011463915
3.75e-05,0.011463915,0.0,1.0,5e-07,1e-2,0.010963354
3.8e-05,0.010963354,0.0,1.0,5e-07,1e-2,0.010462819
3.85e-05,0.010462819,0.0,1.0,5e-07,1e-2,0.009962308
3.9e-05,0.009962308,0.0,1.0,5e-07,1e-2,0.009461823
3.95e-05,0.009461823,0.0,1.0,5e-07,1e-2,0.008961362
4e-05,0.008961362,0.0,1.0,5e-07,1e-2,0.008460927
4.05e-05,0.008460927,0.0,1.0,5e-07,1e-2,0.007960516
4.1e-05,0.007960516,0.0,1.0,5e-07,1e-2,0.0074601304
4.15e-05,0.0074601304,0.0,1.0,5e-07,1e-2,0.00695977
4.2e-05,0.00695977,0.0,1.0,5e-07,1e-2,0.0064594345
4.25e-05,0.0064594345,0.0,1.0,5e-07,1e-2,0.0059591243
4.3e-05,0.0059591243,0.0,1.0,5e-07,1e-2,0.005458839
4.35e-05,0.005458839,0.0,1.0,5e-07,1e-2,0.0049585784
4.4e-05,0.0049585784,0.0,1.0,5e-07,1e-2,0.0044583427
4.45e-05,0.0044583427,0.0,1.0,5e-07,1e-2,0.0039581326
